"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","470","Создание объявления cо статистикой поля view_count, состоящей из '10000'","Advertisements statistics service","Wed Mar 25 18:13:59 UTC 2026","passed","Wed Mar 25 18:14:00 UTC 2026","Create entity","Advertisements","",""
"","154","Создание объявления cо статистикой поля contacts, состоящим из вещественного числа: '3399.99'","Advertisements statistics service","Wed Mar 25 18:14:06 UTC 2026","passed","Wed Mar 25 18:14:06 UTC 2026","Create entity","Advertisements","",""
"","163","Создание объявления cо статистикой поля contacts, состоящим из значения в типе данных null: 'None'","Advertisements statistics service","Wed Mar 25 18:14:07 UTC 2026","passed","Wed Mar 25 18:14:07 UTC 2026","Create entity","Advertisements","",""
"","156","Создание объявления cо статистикой поля contacts, состоящим из SQL инъекции: '' OR 1=1 --'","Advertisements statistics service","Wed Mar 25 18:14:06 UTC 2026","passed","Wed Mar 25 18:14:07 UTC 2026","Create entity","Advertisements","",""
"","158","Создание объявления без поля статистики likes","Advertisements statistics service","Wed Mar 25 18:14:05 UTC 2026","passed","Wed Mar 25 18:14:05 UTC 2026","Create entity","Advertisements","",""
"","158","Создание объявления cо статистикой поля contacts, состоящим из значения в типе данных boolean: 'True'","Advertisements statistics service","Wed Mar 25 18:14:06 UTC 2026","passed","Wed Mar 25 18:14:06 UTC 2026","Create entity","Advertisements","",""
"","170","Создание объявления c ценой, состоящей из отрицательного вещественного числа: '-1549.49'","Advertisements statistics service","Wed Mar 25 18:14:03 UTC 2026","passed","Wed Mar 25 18:14:04 UTC 2026","Create entity","Advertisements","",""
"","159","Создание объявления cо статистикой поля contacts, состоящим из значения в типе данных string: '999'","Advertisements statistics service","Wed Mar 25 18:14:06 UTC 2026","passed","Wed Mar 25 18:14:06 UTC 2026","Create entity","Advertisements","",""
"","159","Создание объявления cо статистикой поля likes, состоящим из значения в типе данных null: 'None'","Advertisements statistics service","Wed Mar 25 18:14:05 UTC 2026","passed","Wed Mar 25 18:14:05 UTC 2026","Create entity","Advertisements","",""
"","487","Создание объявления cо статистикой поля likes, состоящей из '10000'","Advertisements statistics service","Wed Mar 25 18:13:59 UTC 2026","passed","Wed Mar 25 18:13:59 UTC 2026","Create entity","Advertisements","",""
"","777","Создание двух одинаковых объявления","Advertisements statistics service","Wed Mar 25 18:13:57 UTC 2026","passed","Wed Mar 25 18:13:58 UTC 2026","Create entity","Advertisements","",""
"","159","Создание объявления c названием, состоящим из значения в типе данных number: '123456'","Advertisements statistics service","Wed Mar 25 18:14:02 UTC 2026","passed","Wed Mar 25 18:14:02 UTC 2026","Create entity","Advertisements","",""
"","313","Получение статистики существующего объявления","Advertisements statistics service","Wed Mar 25 18:14:08 UTC 2026","passed","Wed Mar 25 18:14:08 UTC 2026","Get entity","Advertisements","",""
